,Table 5. Gender Inequality Index,,,
,,,,
,,Gender Inequality Index,,
,,Value,,
HDI rank,Country,,,
,,2015,,
1,Norway,0.053,,
2,Australia,0.120,,
2,Switzerland,0.040,,
4,Germany,0.066,,
5,Denmark,0.041,,
5,Singapore,0.068,,
7,Netherlands,0.044,,
8,Ireland,0.127,,
9,Iceland,0.051,,
10,Canada,0.098,,
10,United States,0.203,,
12,"Hong Kong, China (SAR)",..,,
13,New Zealand,0.158,,
14,Sweden,0.048,,
15,Liechtenstein,..,,
16,United Kingdom,0.131,,
17,Japan,0.116,,
18,Korea (Republic of),0.067,,
19,Israel,0.103,,
20,Luxembourg,0.075,,
21,France,0.102,,
22,Belgium,0.073,,
23,Finland,0.056,,
24,Austria,0.078,,
25,Slovenia,0.053,,
26,Italy,0.085,,
27,Spain,0.081,,
28,Czech Republic,0.129,,
29,Greece,0.119,,
30,Brunei Darussalam,..,,
30,Estonia,0.131,,
32,Andorra,..,,
33,Cyprus,0.116,,
33,Malta,0.217,,
33,Qatar,0.542,,
36,Poland,0.137,,
37,Lithuania,0.121,,
38,Chile,0.322,,
38,Saudi Arabia,0.257,,
40,Slovakia,0.179,,
41,Portugal,0.091,,
42,United Arab Emirates,0.232,,
43,Hungary,0.252,,
44,Latvia,0.191,,
45,Argentina,0.362,,
45,Croatia,0.141,,
47,Bahrain,0.233,,
48,Montenegro,0.156,,
49,Russian Federation,0.271,,
50,Romania,0.339,,
51,Kuwait,0.335,,
52,Belarus,0.144,,
52,Oman,0.281,,
54,Barbados,0.291,,
54,Uruguay,0.284,,
56,Bulgaria,0.223,,
56,Kazakhstan,0.202,,
58,Bahamas,0.362,,
59,Malaysia,0.291,,
60,Palau,..,,
60,Panama,0.457,,
62,Antigua and Barbuda,..,,
63,Seychelles,..,,
64,Mauritius,0.380,,
65,Trinidad and Tobago,0.324,,
66,Costa Rica,0.308,,
66,Serbia,0.185,,
68,Cuba,0.304,,
69,Iran (Islamic Republic of),0.509,,
70,Georgia,0.361,,
71,Turkey,0.328,,
71,Venezuela (Bolivarian Republic of),0.461,,
73,Sri Lanka,0.386,,
74,Saint Kitts and Nevis,..,,
