Overall Rank,Change in rank,Country,Score,Change in score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Trust,Residual
1,Increase 3, Norway,7.537,Increase 0.039,1.616,1.534,0.797,0.635,0.362,0.316,2.277
2,Decrease 1, Denmark,7.522,Decrease 0.004,1.482,1.551,0.793,0.626,0.355,0.401,2.314
3,Steady, Iceland,7.504,Increase 0.003,1.481,1.611,0.834,0.627,0.476,0.154,2.323
4,Decrease 2,  Switzerland,7.494,Decrease 0.015,1.565,1.517,0.858,0.62,0.291,0.367,2.277
5,Steady, Finland,7.469,Increase 0.056,1.444,1.54,0.809,0.618,0.245,0.383,2.43
6,Increase 1, Netherlands,7.377,Increase 0.038,1.504,1.429,0.811,0.585,0.47,0.283,2.295
7,Decrease 1, Canada,7.316,Decrease 0.088,1.479,1.481,0.835,0.611,0.436,0.287,2.187
8,Steady, New Zealand,7.314,Decrease 0.020,1.406,1.548,0.817,0.614,0.5,0.383,2.046
9,Steady, Australia,7.284,Decrease 0.029,1.484,1.51,0.844,0.602,0.478,0.301,2.065
10,Steady, Sweden,7.284,Decrease 0.007,1.494,1.478,0.831,0.613,0.385,0.384,2.098
11,Steady, Israel,7.213,Decrease 0.054,1.375,1.376,0.838,0.406,0.33,0.085,2.802
12,Increase 2, Costa Rica,7.079,Decrease 0.008,1.11,1.416,0.76,0.58,0.215,0.1,2.899
13,Decrease 1, Austria,7.006,Decrease 0.113,1.487,1.46,0.815,0.568,0.316,0.221,2.139
14,Decrease 1, United States,6.993,Decrease 0.111,1.546,1.42,0.774,0.506,0.393,0.136,2.218
15,Increase 4, Ireland,6.977,Increase 0.070,1.536,1.558,0.81,0.573,0.428,0.298,1.774
16,Steady, Germany,6.951,Decrease 0.043,1.488,1.473,0.799,0.563,0.336,0.277,2.016
17,Increase 1, Belgium,6.891,Decrease 0.038,1.464,1.462,0.818,0.54,0.232,0.251,2.124
18,Increase 2, Luxembourg,6.863,Decrease 0.008,1.742,1.458,0.845,0.597,0.283,0.319,1.62
19,Increase 4, United Kingdom,6.714,Decrease 0.011,1.442,1.496,0.805,0.508,0.493,0.265,1.704
20,Increase 4, Chile,6.652,Decrease 0.053,1.253,1.284,0.819,0.377,0.327,0.082,2.51
21,Increase 7, United Arab Emirates,6.648,Increase 0.075,1.626,1.266,0.727,0.608,0.361,0.324,1.735
22,Decrease 5, Brazil,6.635,Decrease 0.317,1.107,1.431,0.617,0.437,0.162,0.111,2.769
23,Increase 4, Czech Republic,6.609,Increase 0.013,1.353,1.434,0.754,0.491,0.088,0.037,2.452
24,Increase 2, Argentina,6.599,Decrease 0.051,1.185,1.44,0.695,0.495,0.109,0.06,2.614
